pgID,pgChr,pgOrd,IM62,L1,S1
1256,chr10,15726,Migut.J00233.1.v2.0,MgL1_10g02260.1,MgS1_10g02420.1
1257,chr10,15727,Migut.J00234.1.v2.0|Migut.J00234.2.v2.0+,MgL1_10g02270.1,MgS1_10g02430.1
473,chr10,15728,Migut.J00235.1.v2.0,,
1258,chr10,15729,Migut.J00236.1.v2.0,MgL1_10g02290.1,MgS1_10g02450.1
1259,chr10,15730,Migut.J00237.1.v2.0,MgL1_10g02300.1,MgS1_10g02460.1
1260,chr10,15731,,,MgS1_10g02470.1|MgS1_10g02280.1+
1261,chr10,15732,Migut.J00238.1.v2.0,MgL1_10g02280.1,MgS1_10g02480.1|MgS1_10g02440.1+
1262,chr10,15733,Migut.J00239.1.v2.0,MgL1_10g02320.1|MgL1_10g02310.1+,MgS1_10g02490.1
474,chr10,15733.5,,MgL1_10g02330.1,
1263,chr10,15734,Migut.J00240.1.v2.0,MgL1_10g02340.1,MgS1_10g02500.1
1264,chr10,15735,Migut.J00241.1.v2.0,MgL1_10g02350.1,MgS1_10g02510.1
1265,chr10,15736,Migut.J00242.1.v2.0,MgL1_10g02360.1,MgS1_10g02520.1
1266,chr10,15737,Migut.J00243.1.v2.0,MgL1_10g02370.1,MgS1_10g02530.1
1267,chr10,15738,Migut.J00245.1.v2.0|Migut.J00244.1.v2.0+,MgL1_10g02380.1,MgS1_10g02540.1
1268,chr10,15739,Migut.J00246.1.v2.0|Migut.J00246.2.v2.0+,MgL1_10g02390.1,MgS1_10g02550.1
1269,chr10,15740,,,MgS1_10g02570.1
1270,chr10,15741,Migut.J00247.1.v2.0,MgL1_10g02400.1,MgS1_10g02580.1
1271,chr10,15742,Migut.J00248.1.v2.0,MgL1_10g02410.1,MgS1_10g02590.1
1272,chr10,15743,Migut.J00249.1.v2.0,MgL1_10g02420.1,MgS1_10g02600.1
1273,chr10,15744,Migut.J00250.1.v2.0,MgL1_10g02430.1,MgS1_10g02610.1
1274,chr10,15745,Migut.J00251.1.v2.0,MgL1_10g02440.1,MgS1_10g02620.1
1275,chr10,15746,Migut.J00252.1.v2.0,MgL1_10g02450.1,MgS1_10g02630.1
1276,chr10,15747,Migut.J00253.1.v2.0,MgL1_10g02460.1,MgS1_10g02640.1
1277,chr10,15748,Migut.J00254.1.v2.0|Migut.J00254.2.v2.0+,MgL1_10g02470.1,MgS1_10g02650.1
1278,chr10,15749,Migut.J00255.1.v2.0,MgL1_10g02480.1,MgS1_10g02660.1
475,chr10,15749.5,,MgL1_10g02490.1,
1279,chr10,15750,Migut.J00256.1.v2.0,MgL1_10g02500.1,MgS1_10g02670.1
1280,chr10,15751,Migut.J00257.1.v2.0,MgL1_10g02510.1,MgS1_10g02680.1
1281,chr10,15752,Migut.J00258.1.v2.0,,MgS1_10g02690.1
1282,chr10,15753,Migut.J00259.1.v2.0,MgL1_10g02520.1,MgS1_10g02700.1
476,chr10,15753.5,,MgL1_10g02530.1,
1283,chr10,15754,Migut.J00260.1.v2.0,MgL1_10g02540.1,MgS1_10g02710.1
1284,chr10,15755,Migut.J00261.1.v2.0,MgL1_10g02550.1,MgS1_10g02720.1
1285,chr10,15756,Migut.J00262.1.v2.0,MgL1_10g02560.1,MgS1_10g02730.1
1286,chr10,15757,Migut.J00263.2.v2.0|Migut.J00263.3.v2.0+|Migut.J00263.1.v2.0+,MgL1_10g02570.1,MgS1_10g02740.1
1287,chr10,15758,,MgL1_10g02580.1,MgS1_10g02750.1
1288,chr10,15759,Migut.J00264.1.v2.0,MgL1_10g02590.1,MgS1_10g02760.1
1289,chr10,15760,Migut.J00265.1.v2.0,MgL1_10g02600.1,MgS1_10g02770.1
477,chr10,15760.5,,MgL1_10g02610.1,
1290,chr10,15761,Migut.J00266.1.v2.0,MgL1_10g02620.1,MgS1_10g02780.1
1291,chr10,15762,Migut.J00267.1.v2.0,MgL1_10g02630.1,MgS1_10g02790.1
1292,chr10,15763,Migut.J00268.1.v2.0,MgL1_10g02650.1|MgL1_10g02640.1+,MgS1_10g02800.1
478,chr10,15763.5,,MgL1_10g02660.1,
1293,chr10,15764,Migut.J00269.1.v2.0,MgL1_10g02670.1,MgS1_10g02810.1
1294,chr10,15765,Migut.J00270.1.v2.0,MgL1_10g02690.1,MgS1_10g02820.1
1295,chr10,15766,Migut.J00271.1.v2.0,MgL1_10g02700.1,MgS1_10g02830.1
1296,chr10,15767,Migut.J00272.1.v2.0,MgL1_10g02710.1,MgS1_10g02840.1
479,chr10,15767.5,Migut.J00273.1.v2.0|Migut.J00208.1.v2.0+|Migut.J00215.1.v2.0+|Migut.J00215.2.v2.0+|Migut.J00273.2.v2.0+,,
1297,chr10,15768,Migut.J00274.1.v2.0,MgL1_10g02720.1,MgS1_10g02850.1
1298,chr10,15771,,,MgS1_10g02880.1
1299,chr10,15772,Migut.J00276.1.v2.0|Migut.J00275.1.v2.0+,MgL1_10g02740.1,MgS1_10g02890.1|MgS1_10g02860.1+
1300,chr10,15773,,MgL1_10g02730.1,MgS1_10g02900.1|MgS1_10g02870.1+
1301,chr10,15774,Migut.J00277.1.v2.0,MgL1_10g02750.1,MgS1_10g02910.1
1302,chr10,15775,Migut.J00278.1.v2.0,MgL1_10g02760.1,MgS1_10g02920.1
1303,chr10,15776,Migut.J00279.1.v2.0,MgL1_10g02770.1,MgS1_10g02930.1
1304,chr10,15778,Migut.J00281.1.v2.0|Migut.J00280.1.v2.0+|Migut.J00281.2.v2.0+,MgL1_10g02790.1|MgL1_10g02780.1+,MgS1_10g02950.1|MgS1_10g02940.1+
1305,chr10,15779,Migut.J00282.1.v2.0,MgL1_10g02800.1,MgS1_10g02960.1
1306,chr10,15780,Migut.J00283.1.v2.0,MgL1_10g02810.1,MgS1_10g02970.1
480,chr10,15780.5,Migut.J00284.1.v2.0|Migut.J00284.1.v2.0,MgL1_10g02820.1,
1307,chr10,15781,Migut.J00285.1.v2.0,MgL1_10g02830.1,MgS1_10g02980.1
1308,chr10,15782,Migut.J00286.1.v2.0,MgL1_10g02840.1,MgS1_10g02990.1
1309,chr10,15783,Migut.J00287.1.v2.0,MgL1_10g02850.1,MgS1_10g03000.1
1310,chr10,15785,Migut.J00289.2.v2.0|Migut.J00289.1.v2.0+,,MgS1_10g03020.1
1311,chr10,15786,Migut.J00290.1.v2.0,MgL1_10g02870.1,MgS1_10g03030.1
1312,chr10,15787,Migut.J00291.1.v2.0,MgL1_10g02880.1,MgS1_10g03040.1
1313,chr10,15788,Migut.J00295.1.v2.0|Migut.J00288.1.v2.0+|Migut.J00292.1.v2.0+|Migut.J00292.2.v2.0+|Migut.J00293.1.v2.0+|Migut.J00294.1.v2.0+,MgL1_10g02910.1|MgL1_10g02860.1+|MgL1_10g02890.1+|MgL1_10g02900.1+,MgS1_10g03050.1|MgS1_10g03010.1+
1314,chr10,15789,Migut.J00296.1.v2.0|Migut.J00296.2.v2.0+,MgL1_10g02920.1,MgS1_10g03060.1
1315,chr10,15790,,MgL1_10g02930.1,MgS1_10g03070.1
1316,chr10,15791,Migut.J00297.1.v2.0,MgL1_10g02940.1,MgS1_10g03080.1
1317,chr10,15792,Migut.J00298.1.v2.0,MgL1_10g02950.1,MgS1_10g03090.1
1318,chr10,15793,Migut.J00299.1.v2.0,MgL1_10g02960.1,MgS1_10g03100.1
1319,chr10,15794,Migut.J00300.1.v2.0,,MgS1_10g03110.1
1320,chr10,15795,Migut.J00301.1.v2.0,MgL1_10g02970.1,MgS1_10g03120.1
1321,chr10,15796,Migut.J00302.1.v2.0,MgL1_10g02980.1,MgS1_10g03130.1
1322,chr10,15797,Migut.J00303.1.v2.0,MgL1_10g02990.1,MgS1_10g03140.1
1323,chr10,15798,Migut.J00304.1.v2.0,MgL1_10g03000.1,MgS1_10g03150.1
1324,chr10,15799,Migut.J00305.1.v2.0,MgL1_10g03010.1,MgS1_10g03160.1
481,chr10,15799.5,Migut.J00306.1.v2.0,,
482,chr10,15800,,MgL1_10g03030.1,
1325,chr10,15800,Migut.J00307.1.v2.0,MgL1_10g03020.1,MgS1_10g03170.1
483,chr10,15800.5,Migut.J00308.1.v2.0|Migut.J00308.1.v2.0|Migut.J00308.2.v2.0+|Migut.J00308.2.v2.0+,MgL1_10g03040.1,
1326,chr10,15801,Migut.J00309.1.v2.0,MgL1_10g03050.1,MgS1_10g03180.1
1327,chr10,15802,Migut.J00310.1.v2.0,MgL1_10g03060.1,MgS1_10g03190.1
1328,chr10,15803,Migut.J00311.1.v2.0,MgL1_10g03070.1,MgS1_10g03200.1
1329,chr10,15804,,,MgS1_10g03210.1
484,chr10,15804.6666666667,Migut.J00312.1.v2.0|Migut.J00312.1.v2.0,MgL1_10g03080.1,
1330,chr10,15805,,,MgS1_10g03220.1
485,chr10,15806.3333333333,Migut.J00313.1.v2.0|Migut.J00313.1.v2.0,MgL1_10g03090.1,
1331,chr10,15808,Migut.J00314.1.v2.0,MgL1_10g03100.1,MgS1_10g03250.1
1332,chr10,15809,Migut.J00315.1.v2.0|Migut.J00315.2.v2.0+,MgL1_10g03110.1,MgS1_10g03260.1
486,chr10,15810,Migut.J00316.1.v2.0|Migut.J00316.1.v2.0,MgL1_10g03120.1,
1333,chr10,15810,,,MgS1_10g03270.1|MgS1_10g03230.1+|MgS1_10g03240.1+
1334,chr10,15811,Migut.J00317.1.v2.0,MgL1_10g03130.1,MgS1_10g03280.1
1335,chr10,15812,Migut.J00318.1.v2.0,MgL1_10g03140.1,MgS1_10g03290.1
1336,chr10,15813,Migut.J00319.1.v2.0,MgL1_10g03150.1,MgS1_10g03300.1
1337,chr10,15814,Migut.J00320.3.v2.0|Migut.J00320.1.v2.0+|Migut.J00320.2.v2.0+,MgL1_10g03160.1,MgS1_10g03310.1
1338,chr10,15815,Migut.J00321.1.v2.0,MgL1_10g03170.1,MgS1_10g03320.1
487,chr10,15815.3333333333,Migut.J00322.1.v2.0,MgL1_10g03180.1|MgL1_10g03180.1,
488,chr10,15815.5,,MgL1_10g03190.1,
1339,chr10,15816,Migut.J00323.1.v2.0,MgL1_10g03200.1,MgS1_10g03330.1
489,chr10,15816.5,,MgL1_10g03210.1,
1340,chr10,15817,Migut.J00324.1.v2.0|Migut.J00324.2.v2.0+,MgL1_10g03220.1,MgS1_10g03340.1
490,chr10,15817.8,,MgL1_10g03230.1,
1341,chr10,15818,Migut.J00325.1.v2.0,,MgS1_10g03350.1
491,chr10,15818.6,,MgL1_10g03240.1,
492,chr10,15819,Migut.J00326.1.v2.0,,
1342,chr10,15819,,,MgS1_10g03360.1
493,chr10,15819.4,,MgL1_10g03250.1,
494,chr10,15820,Migut.J00328.1.v2.0,,
495,chr10,15820.2,,MgL1_10g03260.1,
1343,chr10,15821,Migut.J00329.1.v2.0,MgL1_10g03280.1,MgS1_10g03380.1
496,chr10,15821.5,Migut.J00330.1.v2.0,,
1344,chr10,15822,Migut.J00331.1.v2.0|Migut.J00327.1.v2.0+,MgL1_10g03290.1|MgL1_10g03270.1+,MgS1_10g03390.1|MgS1_10g03370.1+
1345,chr10,15823,Migut.J00332.1.v2.0|Migut.J00332.2.v2.0+|Migut.J00332.3.v2.0+,MgL1_10g03300.1,MgS1_10g03400.1
1346,chr10,15824,Migut.J00333.2.v2.0|Migut.J00333.1.v2.0+,MgL1_10g03310.1,MgS1_10g03410.1
1347,chr10,15825,Migut.J00334.1.v2.0,MgL1_10g03320.1,MgS1_10g03420.1
1348,chr10,15826,Migut.J00335.1.v2.0,MgL1_10g03330.1,MgS1_10g03430.1
1349,chr10,15827,Migut.J00336.1.v2.0,MgL1_10g03340.1,MgS1_10g03440.1
497,chr10,15828,Migut.J00337.1.v2.0,,
1350,chr10,15828,,MgL1_10g03350.1,MgS1_10g03450.1
1351,chr10,15829,Migut.J00338.1.v2.0|Migut.J00338.2.v2.0+,MgL1_10g03360.1,MgS1_10g03460.1
1352,chr10,15830,Migut.J00339.1.v2.0,MgL1_10g03370.1,MgS1_10g03470.1
1353,chr10,15831,Migut.J00340.1.v2.0,MgL1_10g03380.1,MgS1_10g03480.1
1354,chr10,15832,,MgL1_10g03390.1,MgS1_10g03490.1
1355,chr10,15833,Migut.J00341.1.v2.0,MgL1_10g03400.1,MgS1_10g03500.1
1356,chr10,15834,,,MgS1_10g03510.1
498,chr10,15834.5,,MgL1_10g03410.1,
499,chr10,15834.5,Migut.J00342.1.v2.0,,
1357,chr10,15835,,,MgS1_10g03520.1
1358,chr10,15836,Migut.J00343.1.v2.0,MgL1_10g03420.1,MgS1_10g03530.1
1359,chr10,15840,Migut.J00345.1.v2.0|Migut.J00344.1.v2.0+,MgL1_10g03440.1|MgL1_10g03430.1+,MgS1_10g03570.1|MgS1_10g03540.1+|MgS1_10g03550.1+|MgS1_10g03560.1+
500,chr10,15840.5,,MgL1_10g03450.1,
1360,chr10,15841,Migut.J00346.1.v2.0,MgL1_10g03460.1,MgS1_10g03580.1
1361,chr10,15842,Migut.J00347.1.v2.0,MgL1_10g03470.1,MgS1_10g03590.1
1362,chr10,15843,Migut.J00348.1.v2.0,MgL1_10g03480.1,MgS1_10g03600.1
1363,chr10,15844,Migut.J00349.1.v2.0|Migut.J00349.2.v2.0+,MgL1_10g03490.1,MgS1_10g03610.1
1364,chr10,15845,Migut.J00350.1.v2.0,MgL1_10g03500.1,MgS1_10g03620.1
501,chr10,15845.5,Migut.J00351.2.v2.0,,
1365,chr10,15846,Migut.J00351.1.v2.0,MgL1_10g03510.1,MgS1_10g03630.1
1366,chr10,15847,Migut.J00352.1.v2.0,MgL1_10g03520.1,MgS1_10g03640.1
1367,chr10,15849,Migut.J00353.1.v2.0,MgL1_10g03540.1,MgS1_10g03660.1
1368,chr10,15850,Migut.J00354.1.v2.0,MgL1_10g03550.1|MgL1_10g03530.1+,MgS1_10g03670.1|MgS1_10g03650.1+
502,chr10,15850.5,Migut.J00355.1.v2.0|Migut.J00355.1.v2.0,MgL1_10g03560.1,
1369,chr10,15851,,MgL1_10g03570.1,MgS1_10g03680.1
503,chr10,15852,,MgL1_10g03580.1,
504,chr10,15852,Migut.J00356.1.v2.0,,
1370,chr10,15852,,,MgS1_10g03690.1
1371,chr10,15853,Migut.J00357.1.v2.0,MgL1_10g03590.1,MgS1_10g03700.1
1372,chr10,15854,,MgL1_10g03600.1,MgS1_10g03710.1
1373,chr10,15855,Migut.J00358.1.v2.0,MgL1_10g03610.1,MgS1_10g03720.1
1374,chr10,15856,Migut.J00359.1.v2.0,MgL1_10g03620.1,MgS1_10g03730.1
505,chr10,15856.3333333333,Migut.J00360.1.v2.0|Migut.J00360.1.v2.0,MgL1_10g03630.1,
1375,chr10,15857,Migut.J00361.1.v2.0,MgL1_10g03640.1,MgS1_10g03740.1
1376,chr10,15858,Migut.J00362.1.v2.0|Migut.J00362.2.v2.0+,MgL1_10g03650.1,MgS1_10g03750.1
506,chr10,15859,Migut.J00364.1.v2.0|Migut.J00364.1.v2.0|Migut.J00363.1.v2.0+|Migut.J00363.1.v2.0+,MgL1_10g03670.1|MgL1_10g03660.1+,
1377,chr10,15859,,,MgS1_10g03760.1
1378,chr10,15860,Migut.J00365.1.v2.0,MgL1_10g03680.1,MgS1_10g03770.1
1379,chr10,15861,,,MgS1_10g03780.1
507,chr10,15861.3333333333,Migut.J00366.1.v2.0|Migut.J00366.2.v2.0+,MgL1_10g03690.1|MgL1_10g03690.1,
1380,chr10,15862,,,MgS1_10g03790.1
508,chr10,15862.5,Migut.J00367.1.v2.0|Migut.J00367.1.v2.0|Migut.J00367.2.v2.0+|Migut.J00367.2.v2.0+,MgL1_10g03700.1,
1381,chr10,15863,,,MgS1_10g03800.1
509,chr10,15863.75,,MgL1_10g03710.1,
1382,chr10,15864,Migut.J00368.1.v2.0,,MgS1_10g03810.1
1383,chr10,15865,Migut.J00369.1.v2.0,MgL1_10g03720.1,MgS1_10g03820.1
1384,chr10,15866,Migut.J00370.1.v2.0|Migut.J00370.2.v2.0+,MgL1_10g03730.1,MgS1_10g03830.1
510,chr10,15866.4,,MgL1_10g03740.1,
1385,chr10,15867,Migut.J00371.1.v2.0,MgL1_10g03750.1,MgS1_10g03840.1
511,chr10,15867.2,Migut.J00372.1.v2.0|Migut.J00372.1.v2.0,MgL1_10g03760.1,
512,chr10,15867.5,Migut.J00373.1.v2.0,MgL1_10g03770.1|MgL1_10g03770.1,
1386,chr10,15868,Migut.J00374.2.v2.0|Migut.J00374.1.v2.0+,MgL1_10g03780.1,MgS1_10g03850.1
513,chr10,15868.5,Migut.J00375.1.v2.0|Migut.J00375.1.v2.0|Migut.J00375.2.v2.0+|Migut.J00375.2.v2.0+,MgL1_10g03790.1,
1387,chr10,15869,Migut.J00376.1.v2.0,MgL1_10g03800.1,MgS1_10g03860.1
1388,chr10,15870,Migut.J00377.1.v2.0,MgL1_10g03810.1,MgS1_10g03870.1
1389,chr10,15871,Migut.J00378.1.v2.0,MgL1_10g03820.1,MgS1_10g03880.1
1390,chr10,15872,Migut.J00379.1.v2.0,,MgS1_10g03890.1
514,chr10,15873,Migut.J00380.1.v2.0|Migut.J00380.1.v2.0,MgL1_10g03830.1,
1391,chr10,15873,,,MgS1_10g03900.1
1392,chr10,15874,,,MgS1_10g03910.1
1393,chr10,15875,Migut.J00381.1.v2.0,MgL1_10g03840.1,MgS1_10g03920.1
1394,chr10,15876,Migut.J00382.1.v2.0,MgL1_10g03850.1,MgS1_10g03930.1
1395,chr10,15877,Migut.J00383.1.v2.0,MgL1_10g03860.1,MgS1_10g03940.1
515,chr10,15877.5,Migut.J00383.2.v2.0,,
1396,chr10,15878,,MgL1_10g03870.1,MgS1_10g03950.1
516,chr10,15878.25,Migut.J00384.1.v2.0,,
1397,chr10,15879,Migut.J00385.1.v2.0,MgL1_10g03880.1,MgS1_10g03960.1
1398,chr10,15880,,MgL1_10g03890.1,MgS1_10g03970.1
1399,chr10,15881,Migut.J00386.1.v2.0,MgL1_10g03900.1,MgS1_10g03980.1
1400,chr10,15882,,,MgS1_10g03990.1
1401,chr10,15883,Migut.J00387.1.v2.0,MgL1_10g03910.1,MgS1_10g04000.1
1402,chr10,15884,Migut.J00388.1.v2.0,MgL1_10g03920.1,MgS1_10g04010.1
1403,chr10,15885,Migut.J00389.1.v2.0,MgL1_10g03930.1,MgS1_10g04020.1
1404,chr10,15886,,,MgS1_10g04030.1
1405,chr10,15887,Migut.J00390.3.v2.0|Migut.J00390.1.v2.0+|Migut.J00390.2.v2.0+,MgL1_10g03940.1,MgS1_10g04040.1
517,chr10,15887.5,Migut.J00391.1.v2.0,,
1406,chr10,15888,Migut.J00392.1.v2.0,MgL1_10g03950.1,MgS1_10g04050.1
1407,chr10,15889,Migut.J00393.1.v2.0,MgL1_10g03960.1,MgS1_10g04060.1
518,chr10,15890,Migut.J00394.1.v2.0,,
1408,chr10,15890,,MgL1_10g03970.1,MgS1_10g04070.1
1409,chr10,15891,Migut.J00395.1.v2.0|Migut.J00395.2.v2.0+,MgL1_10g03980.1,MgS1_10g04080.1
1410,chr10,15892,Migut.J00396.3.v2.0|Migut.J00396.2.v2.0+|Migut.J00396.1.v2.0+,MgL1_10g03990.1,MgS1_10g04090.1
1411,chr10,15893,Migut.J00397.1.v2.0|Migut.J00397.2.v2.0+,MgL1_10g04000.1,MgS1_10g04100.1
1412,chr10,15894,,,MgS1_10g04110.1
1413,chr10,15895,Migut.J00398.1.v2.0,MgL1_10g04010.1,MgS1_10g04120.1
1414,chr10,15896,,,MgS1_10g04130.1
519,chr10,15896.3333333333,Migut.J00400.1.v2.0|Migut.J00399.1.v2.0+,,
1415,chr10,15897,,,MgS1_10g04140.1
1416,chr10,15898,Migut.J00401.1.v2.0,MgL1_10g04020.1,MgS1_10g04150.1
1417,chr10,15899,,MgL1_10g04030.1,MgS1_10g04160.1
1418,chr10,15900,Migut.J00402.2.v2.0|Migut.J00402.3.v2.0+|Migut.J00402.1.v2.0+,MgL1_10g04040.1,MgS1_10g04170.1
520,chr10,15901,Migut.J00403.1.v2.0|Migut.J00403.1.v2.0,MgL1_10g04050.1,
1419,chr10,15901,,,MgS1_10g04180.1
1420,chr10,15902,Migut.J00404.1.v2.0,MgL1_10g04060.1,MgS1_10g04190.1
1421,chr10,15903,Migut.J00405.1.v2.0,MgL1_10g04070.1,MgS1_10g04200.1
1422,chr10,15904,,,MgS1_10g04210.1
1423,chr10,15905,Migut.J00406.1.v2.0,MgL1_10g04080.1,MgS1_10g04220.1
1424,chr10,15906,Migut.J00407.1.v2.0,MgL1_10g04090.1,MgS1_10g04230.1
1425,chr10,15907,Migut.J00408.1.v2.0,MgL1_10g04100.1,MgS1_10g04240.1
1426,chr10,15908,,MgL1_10g04110.1,MgS1_10g04250.1
521,chr10,15908.5,Migut.J00409.1.v2.0,,
1427,chr10,15909,,MgL1_10g04120.1,MgS1_10g04260.1
1428,chr10,15910,Migut.J00410.1.v2.0,MgL1_10g04130.1,MgS1_10g04270.1
522,chr10,15911,Migut.J00411.3.v2.0|Migut.J00411.1.v2.0+|Migut.J00411.2.v2.0+,,
1429,chr10,15911,,,MgS1_10g04280.1
1430,chr10,15912,Migut.J00412.1.v2.0,MgL1_10g04140.1,MgS1_10g04290.1
523,chr10,15912.25,Migut.J00413.1.v2.0,,
524,chr10,15912.5,Migut.J00414.1.v2.0,,
1431,chr10,15913,Migut.J00416.1.v2.0,MgL1_10g04150.1,MgS1_10g04300.1
1432,chr10,15914,Migut.J00415.1.v2.0,,MgS1_10g04310.1
1433,chr10,15915,Migut.J00417.2.v2.0|Migut.J00417.1.v2.0+,MgL1_10g04160.1,MgS1_10g04320.1
1434,chr10,15916,Migut.J00418.1.v2.0,MgL1_10g04170.1,MgS1_10g04330.1
525,chr10,15916.5,Migut.J00419.1.v2.0,,
1435,chr10,15917,Migut.J00420.2.v2.0|Migut.J00420.1.v2.0+,MgL1_10g04180.1,MgS1_10g04340.1
526,chr10,15917.25,Migut.J00421.1.v2.0|Migut.J00421.1.v2.0,MgL1_10g04190.1,
527,chr10,15917.4,Migut.J00422.1.v2.0,,
528,chr10,15917.5,Migut.J00423.1.v2.0|Migut.J00423.1.v2.0,MgL1_10g04200.1,
529,chr10,15917.75,Migut.J00424.1.v2.0|Migut.J00424.1.v2.0,MgL1_10g04210.1,
1436,chr10,15918,Migut.J00425.1.v2.0,MgL1_10g04220.1,MgS1_10g04350.1
1437,chr10,15919,Migut.J00426.1.v2.0,MgL1_10g04230.1,MgS1_10g04360.1
1438,chr10,15920,Migut.J00427.1.v2.0,MgL1_10g04240.1,MgS1_10g04370.1
530,chr10,15921,Migut.J00429.1.v2.0,MgL1_10g04250.1,
1439,chr10,15921,,,MgS1_10g04380.1
1440,chr10,15922,,MgL1_10g04260.1,MgS1_10g04390.1
1441,chr10,15923,Migut.J00431.1.v2.0,MgL1_10g04270.1,MgS1_10g04400.1
1442,chr10,15924,,,MgS1_10g04410.1
1443,chr10,15925,,,MgS1_10g04420.1
1444,chr10,15926,Migut.J00432.1.v2.0,MgL1_10g04280.1,MgS1_10g04430.1
531,chr10,15926.75,Migut.J00557.1.v2.0,MgL1_10g04300.1,
1445,chr10,15927,Migut.J00558.1.v2.0|Migut.J00558.2.v2.0+,MgL1_10g04290.1,MgS1_10g04440.1
1446,chr10,15928,Migut.J00556.1.v2.0,MgL1_10g04310.1,MgS1_10g04450.1
1447,chr10,15929,Migut.J00555.1.v2.0,MgL1_10g04320.1,MgS1_10g04460.1
1448,chr10,15930,Migut.J00554.1.v2.0,MgL1_10g04330.1,MgS1_10g04470.1
532,chr10,15931,,MgL1_10g04340.1,
1449,chr10,15931,Migut.J00553.1.v2.0,,MgS1_10g04480.1
1450,chr10,15932,Migut.J00552.1.v2.0,MgL1_10g04350.1,MgS1_10g04490.1
1451,chr10,15933,Migut.J00551.1.v2.0,MgL1_10g04360.1,MgS1_10g04500.1
1452,chr10,15934,Migut.J00550.1.v2.0,MgL1_10g04380.1|MgL1_10g04370.1+,MgS1_10g04510.1
533,chr10,15934.5,Migut.J00548.1.v2.0,,
1453,chr10,15935,Migut.J00549.1.v2.0,MgL1_10g04390.1,MgS1_10g04520.1
1454,chr10,15936,Migut.J00546.1.v2.0,MgL1_10g04410.1,MgS1_10g04540.1
1455,chr10,15937,Migut.J00545.1.v2.0,MgL1_10g04420.1,MgS1_10g04550.1
1456,chr10,15938,Migut.J00544.1.v2.0|Migut.J00543.1.v2.0+,MgL1_10g04430.1,MgS1_10g04560.1
1457,chr10,15939,,MgL1_10g04440.1,MgS1_10g04570.1
1458,chr10,15940,,MgL1_10g04450.1,MgS1_10g04580.1
1459,chr10,15941,Migut.J00542.1.v2.0,MgL1_10g04460.1,MgS1_10g04590.1
534,chr10,15941.5,Migut.J00541.2.v2.0|Migut.J00541.2.v2.0|Migut.J00541.1.v2.0+|Migut.J00541.1.v2.0+,MgL1_10g04470.1,
1460,chr10,15942,Migut.J00540.1.v2.0,MgL1_10g04480.1,MgS1_10g04600.1
1461,chr10,15943,Migut.J00539.1.v2.0,MgL1_10g04490.1,MgS1_10g04610.1
1462,chr10,15944,Migut.J00538.1.v2.0,MgL1_10g04500.1,MgS1_10g04620.1
1463,chr10,15945,Migut.J00537.1.v2.0,MgL1_10g04510.1,MgS1_10g04630.1
1464,chr10,15946,,MgL1_10g04520.1,MgS1_10g04640.1
1465,chr10,15947,Migut.J00535.1.v2.0,MgL1_10g04530.1,MgS1_10g04650.1
1466,chr10,15948,,MgL1_10g04540.1,MgS1_10g04660.1
535,chr10,15949,Migut.J00536.1.v2.0,,
1467,chr10,15949,Migut.J00534.1.v2.0,MgL1_10g04550.1,MgS1_10g04670.1
1468,chr10,15950,Migut.J00533.1.v2.0,MgL1_10g04560.1,MgS1_10g04680.1
1469,chr10,15951,Migut.J00532.1.v2.0,MgL1_10g04570.1,MgS1_10g04690.1
1470,chr10,15952,Migut.J00531.1.v2.0,MgL1_10g04580.1,MgS1_10g04710.1
536,chr10,15953,Migut.J00526.1.v2.0,,
1471,chr10,15953,Migut.J00530.1.v2.0,MgL1_10g04590.1,MgS1_10g04720.1
1472,chr10,15954,Migut.J00529.1.v2.0,MgL1_10g04600.1,MgS1_10g04730.1
1473,chr10,15955,Migut.J00528.1.v2.0,MgL1_10g04610.1,MgS1_10g04740.1
1474,chr10,15956,Migut.J00527.1.v2.0,MgL1_10g04620.1,MgS1_10g04750.1
1475,chr10,15957,,MgL1_10g04630.1,MgS1_10g04760.1
1476,chr10,15958,Migut.J00525.1.v2.0,MgL1_10g04640.1,MgS1_10g04770.1
1477,chr10,15959,Migut.J00524.1.v2.0,MgL1_10g04650.1,MgS1_10g04780.1
537,chr10,15959.6666666667,Migut.J00523.1.v2.0|Migut.J00523.2.v2.0+,,
1478,chr10,15960,Migut.J00522.3.v2.0|Migut.J00520.1.v2.0+|Migut.J00522.2.v2.0+|Migut.J00522.1.v2.0+,MgL1_10g04660.1,MgS1_10g04790.1
1479,chr10,15961,Migut.J00521.1.v2.0,MgL1_10g04670.1,MgS1_10g04800.1
1480,chr10,15962,Migut.J00519.1.v2.0,MgL1_10g04680.1,MgS1_10g04810.1
1481,chr10,15963,Migut.J00518.1.v2.0,MgL1_10g04690.1,MgS1_10g04820.1
538,chr10,15964,Migut.J00517.1.v2.0|Migut.J00517.1.v2.0,MgL1_10g04700.1,
539,chr10,15965,Migut.J00516.1.v2.0|Migut.J00516.1.v2.0,MgL1_10g04710.1,
1482,chr10,15965,,,MgS1_10g04840.1|MgS1_10g04830.1+
540,chr10,15966,Migut.J00515.1.v2.0|Migut.J00515.1.v2.0,MgL1_10g04730.1,
1483,chr10,15966,,,MgS1_10g04850.1
541,chr10,15967,,MgL1_10g04740.1,
1484,chr10,15968,,MgL1_10g04760.1,MgS1_10g04870.1
